[INFO]  === Pre-flight checks ===
[INFO]  All input files found for 2 samples.
[INFO]  Output directory: /pastel/tools/circRNA_tools/test_data/decoupled_comparison
[INFO]  Joint pipeline: CIRI3_decoupled.jar (current source, -W 1)
[INFO]  Decoupled jar:  /pastel/Github_scripts/CIRI3/CIRI3_decoupled.jar
[INFO]  === Stage 0: ORIGINAL pipeline (CIRI3_Java_1.8.0.jar, -W 1, -Ma 1) ===
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=31 reads_seen=55308 reads_in_scan1IdMap=158 bsj_emitted=195
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=23 reads_seen=55513 reads_in_scan1IdMap=146 bsj_emitted=220
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=2 reads_seen=57458 reads_in_scan1IdMap=115 bsj_emitted=192
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=7 reads_seen=55257 reads_in_scan1IdMap=154 bsj_emitted=209
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=21 reads_seen=55673 reads_in_scan1IdMap=166 bsj_emitted=202
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=12 reads_seen=57138 reads_in_scan1IdMap=112 bsj_emitted=201
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=4 reads_seen=57308 reads_in_scan1IdMap=113 bsj_emitted=188
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=53 reads_seen=55574 reads_in_scan1IdMap=170 bsj_emitted=212
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=3 reads_seen=54919 reads_in_scan1IdMap=156 bsj_emitted=191
2026-04-20 20:25:07 :DIAG_SCAN1 samFile=/pastel/tools/circRNA_tools/test_data/STAR_output_PARDOS_2_S2/bwa.sam threadNum=27 reads_seen=55624 reads_in_scan1IdMap=177 bsj_emitted=204
